age_min,age_max,time,energy,place,users_count,count,bucket,titles,ids
3,4,30 мин,Немного бодрый — готов на лёгкую активность,Дома,7,35,good_8_plus,"Гигантское рисование: Арт-буксир, Узоры и ритмы: Повторяем последовательности, Универсальные точки: Учимся с наклейками, Пять способов рисования: Необычные инструменты, Осенний пуантилизм: Разноцветная кукуруза, Бумажная радуга: Горшочек с золотом, Геометрические узоры: Рисуем ватными палочками, Археологические раскопки: Найди самоцветы, Играем в докторов, Лего-Геоборд: Геометрия из резинок, Кодируем лабиринт, Охота за предметами: Сканер-квест, Сумка-валентинка из тарелок, Математическое мороженое: Рисуем по кубику, Буквенный квест: Режь, ищи, сопоставляй!, Сенсорное рисование: Геометрия на пене, Картинка из крупы, Паучок-арифметика, Охота на тени, Галерея клякс, Весёлый поезд, Домашняя песочница, Вращающийся светофор: Цветные последовательности, Коробка-Таргет: Слайд и Гол, Катапульта из пакета, Шнуровка: Доска для тренировки мелкой моторики, Лего-Сравнение: Больше, меньше, равно, Веселая стрижка: Тренировка с бумажной тарелкой, Полный, наполовину, пустой: Сортировка по объему, Математическое эскимо: Соедини числа, Индейка-счёт: Хвост по числу, Рисование ""Фейерверк"" спагетти, Пишем и строим: Визуализация слов, Схема и палочки: 3D-конструктор, Алфавитные раскопки: Сенсорный поиск букв","535, 411, 413, 415, 466, 416, 419, 553, 198, 329, 330, 376, 469, 442, 381, 389, 174, 401, 180, 182, 188, 223, 505, 522, 529, 547, 578, 439, 390, 396, 402, 494, 516, 524, 526"
3,4,15 мин,Немного бодрый — готов на лёгкую активность,Дома,4,77,good_8_plus,"Спрячь и найди звук, Словарные браслеты: Читай и играй, Ловим ловко ""яйца"", Удержи шарик, Каравай, Квест: Цветные станции с заданиями, Лего-Пинг-Понг: Пересчитай и перебрось, Лего-Геоборд: Геометрия из резинок, Ритмичная эстафета, Прыжки через ручейки, Гусеница по условию: Кубик и цвета, Лего-правописание: Собери своё имя, UNO-Сортировка: Математика с карточками, Симметрия сложения: Бабочка-десятка, Пазл из коробки: Второе рождение упаковки, Кекс-счёт: Сопоставь цифру и количество, Кладоискатель, Волшебные следы, Смешные скороговорки, Пузыри-поймайки, Снежки-считалочки: Разбей пластилин по числу, Задачки-считалки, Ловля стаканчиков, История по картинкам, Ловим свето-зайчиков, Охота на запахи, 🎣 Домашняя рыбалка, Разложи по парам, Жмурки, Веревка и прищепки: Развешиваем носки, Башни-узоры: Повторяем цветные последовательности, Съедобные узоры: Повтори последовательность, Мягкие ножки-хваталки: Переносим игрушки, Рикошет: Поймай мяч от стены, Настольный боулинг: Дуем из дудок, Геометрический пылесос: Сортировка трубочкой, Ловкость на балансе: Катапульта и ловилка, UNO-Гонка: Переверни все карты, Эстафета ложкой: Перенеси шарик по стаканчикам, Многоразовые трассы: Готовим руку к письму, Ритм-стучалка: Отбиваем числа, Цветные браслеты: Гонка на повторение узора, Интерактивный Чек-лист: Утренняя Рутина, Лего-Бинго: Цветная гонка, Считаем пальцы: Числа на столе, Ритм-координация: Повтори фигуру, Волшебные конусы: Угадай, где шарик, Театр конструктора: Башни в коробке, Слайд-фокус: Угадай, что спрятано (Коробки и стаканы), Настольный хоккей: Цветовая мишень, Реакция по числу: Накрой стаканом, Где игрушка? Учим предлоги места, Зеркальная полка: Повтори порядок, Гласный прыжок: Угадай звук!, Настольный керлинг: Шарик в стакане, Ритм по счету: Повтори за мной!, Умные прищепки: Алфавит и Счет, Воздушные гонки, Ловцы стаканчиков, Угадай-ка ароматы!, Катаем шарики на координацию, Ритм-головоломка: Найди цвет, Стрижка червячков: Режем пластилин, Цветной марафон: Собираем помпоны, Игровой обед: Угадай, что съешь!, Формируем буквы и цифры верёвкой, Математические гирлянды: Сложи и наклей, Цветной код: Стрелки и точки, Цветные прятки с помпонами, Числовой квест: От цифр к точкам!, Звериные превращения, Настольный тир: Дуй и попадай!, Зернышки-считалочки, Гонки слов: Трасса на полу, Ныряльщик с нудлом: Толкаем мячи, Трубка-молния: Поймай, пока не упало, Найди пару: Соединяем обувь","200, 357, 348, 197, 196, 567, 574, 329, 331, 334, 437, 441, 443, 446, 448, 378, 172, 175, 176, 177, 470, 345, 346, 178, 189, 210, 211, 219, 281, 501, 477, 489, 495, 499, 503, 506, 510, 513, 518, 527, 530, 538, 539, 541, 544, 546, 550, 562, 564, 566, 568, 570, 571, 356, 585, 359, 426, 190, 332, 333, 337, 380, 382, 383, 342, 394, 400, 405, 349, 351, 352, 353, 354, 479, 502, 519, 531"
7,8,15 мин,Хочу просто спокойно пообщаться,Дома,6,31,good_8_plus,"Деление на бумаге: Разложи поровну, Маркировка слов: Цветовой код для чтения, Съедобное мемори, Веселая арифметика: Жуки-ответы, Наука: Танцующая бумага, Наука: Резиновое яйцо, Математика на числовой прямой, Слайд-пазл: Цвета в колонке, Часы десятки: Сумма до 10 с прищепками, Сломанный телефон, Волшебный мешочек, Я знаю 5…, Что исчезло?, Захват территории, Пальчиковый художник, Фантастическая пятёрка, Сказка наоборот, Бесконечная история, Мне всё льзя!, Рисунок по кругу, Говорим по-разному (7-8 лет), Математика с UNO: Состав числа, Цветное мемори: Стаканчики и помпоны, Где шарик? Учим пространственные предлоги, Визуальный сортировщик эмоций, Лента роста: Подарок для близких на расстоянии, Звуковая арифметика: Сложи ритм, Угадай вкус: Таинственные напитки, Повтори узор на пальцах, Математический сундук с самоцветами, Звуковое мемори: Угадай материал по стуку","370, 429, 377, 432, 285, 289, 388, 393, 398, 207, 208, 294, 218, 297, 224, 225, 226, 227, 228, 234, 267, 484, 490, 504, 551, 560, 581, 375, 344, 350, 528"
3,4,1 час,Полон сил — хочу подвигаться!,На улице,1,3,low_1_3,"Сборник: Уличные игры с мелом, Арт-Автомойка: Рисуем на машине, Следы на асфальте","452, 453, 181"
3,4,30 мин,Немного бодрый — готов на лёгкую активность,На улице,1,11,good_8_plus,"Ледяные водоросли: Цепочки для игры с водой, Водяная лаборатория: Смешиваем цвета, Следопыты, Цветовая охота: Собираем цвета природы, Ботанический салон: Стрижка и букеты, Супер-пузыри: Домашний раствор, Рисование цветным льдом, Математика на асфальте: Считаем камни, Идем по теням, Собираем узоры, Ищем буквы на прогулке","463, 420, 195, 367, 454, 456, 458, 461, 216, 217, 347"
3,4,15 мин,Хочу просто спокойно пообщаться,Дома,11,43,good_8_plus,"Улитка-узор: Составляем цветные последовательности, Буквенное домино: Сопоставляем алфавит, Магнитный трек: Лабиринты для моторики, Счет-Сортировка: UNO и противень для кексов, Математические купола: Сложи и посчитай, Разверни сокровище: Фольга и конструктор, Кролики-считалки: Сопоставляем числа, Маркировка слов: Цветовой код для чтения, Пасхальный счёт: Точки и числа, Съедобное мемори, Яйца-загадки: Математические пластыри, Насекомые-считалки: Цифры и наклейки, Звучащие яйца: Найди пару, Математика на числовой прямой, Магия скотча, Ожившие игрушки, Сломанный телефон, Волшебный мешочек, Что исчезло?, Собери столько, Пальчиковый художник, Математика с UNO: Состав числа, Цветное мемори: Стаканчики и помпоны, Звуковая лотерея: Звуки предметов, Где шарик? Учим пространственные предлоги, Цветной Ритм: Запомни последовательность, Цветной маникюр: Колпачки на пальцах, Визуальный сортировщик эмоций, Сортировка сокровищ: Фигурки на стикерах, Картонный конструктор: Гайки и болты, Лента роста: Подарок для близких на расстоянии, Флаги из кубиков: Составь цветной узор, Цветная последовательность: Яйца-половинки, Звуковая арифметика: Сложи ритм, Угадай вкус: Таинственные напитки, Звуковые стаканчики: Собери слово, найди игрушку, Звуковые губки: Угадай звук по артикуляции, Повтори узор на пальцах, Настольная навигация: Сопоставь ложку и стрелку, Математический сундук с самоцветами, Геометрия на ложках: Сопоставь узор, Цветовая Память: Повторяем последовательность, Звуковое мемори: Угадай материал по стуку","417, 421, 549, 561, 362, 427, 428, 429, 430, 377, 369, 451, 384, 388, 186, 187, 207, 208, 218, 220, 224, 484, 490, 496, 504, 534, 532, 551, 557, 559, 560, 563, 575, 581, 375, 360, 373, 344, 493, 350, 478, 486, 528"
3,4,30 мин,Хочу просто спокойно пообщаться,Дома,2,24,good_8_plus,"Финансовый конструктор: Считаем монеты, Дорисуй портрет: Мое второе ""я"", Слепой конструктор: Копируем башню по памяти, Пузырчатая печать: Рисуем бабл-рэпом, Рисуем музыку, Секретный номер: Учим телефон родителя, Пасхальный зайчик: Поделка из отпечатка руки, Смешные лица: Книга-перевёртыш, Математические башни из Лего, Сортировщик сокровищ, Пластилиновые фигурки, Ароматный амулет, Шаблоны осьминога: Наклейки по цветам, Съедобный песок: Сенсорная стройка, Кукурузный контур: Аппликация на скотче, Правописание с контейнерами: Собери слово и упакуй, Звуковое мемори: Угадай по шуму, Светящаяся ванна: Игра с кубиками Glow Pals, Сортировщик-копилка Pringles, Геометрия цвета: Рисование с малярным скотчем, Строим по образцу: Конструктор-копия, Индейка из цветного скотча, Лепка с бусинами: Сенсорный сад, Рисуем клевер: 2 способа печати","412, 537, 545, 425, 343, 468, 471, 372, 450, 179, 193, 194, 407, 474, 480, 483, 533, 576, 583, 465, 387, 403, 406, 408"
9,10,15 мин,Хочу просто спокойно пообщаться,Дома,5,12,good_8_plus,"Наука: Танцующая бумага, Наука: Резиновое яйцо, Сломанный телефон, Я знаю 5…, Захват территории, Фантастическая пятёрка, Сказка наоборот, Бесконечная история, Мне всё льзя!, Рисунок по кругу, Говорим по-разному (9-10 лет), Лента роста: Подарок для близких на расстоянии","285, 289, 207, 294, 297, 225, 226, 227, 228, 234, 268, 560"
3,4,Более часа,Хочу просто спокойно пообщаться,Дома,1,1,low_1_3,Художественная галерея стикеров в машине,492
5,6,30 мин,Немного бодрый — готов на лёгкую активность,На улице,1,17,good_8_plus,"Ледяные водоросли: Цепочки для игры с водой, Водяная лаборатория: Смешиваем цвета, Следопыты, Цветовая охота: Собираем цвета природы, Наука: Телефон из стаканчиков, Ботанический салон: Стрижка и букеты, Супер-пузыри: Домашний раствор, Рисование цветным льдом, Математика на асфальте: Считаем камни, Страна теней, Идем по теням, Собираем узоры, Меняемся ролями (5–6 лет), Что будет если..., Наука: Парашют из пакета, Карта желаний: Прыгаем и строим предложения, Ищем буквы на прогулке","463, 420, 195, 367, 290, 454, 456, 458, 461, 215, 216, 217, 271, 274, 293, 512, 347"
